2022-05-12 14:34:50,180,1,human,novice,1,1,1495,13
2022-05-12 14:37:54,180,1,human,novice,2,1,651,9
2022-05-12 14:40:55,180,1,human,novice,2,2,687,9
2022-05-12 14:43:58,180,2,human,novice,1,1,1485,14
2022-05-12 14:47:00,180,2,human,novice,2,1,773,10
2022-05-12 14:50:04,180,2,human,novice,2,2,695,9
2022-05-12 15:05:57,180,1,human,pro,1,1,1627,15
2022-05-12 15:09:02,180,1,human,pro,2,1,773,10
2022-05-12 15:12:09,180,1,human,pro,2,2,655,9
2022-05-12 15:15:10,180,2,human,pro,1,1,1697,16
2022-05-12 15:18:12,180,2,human,pro,2,1,843,11
2022-05-12 15:21:12,180,2,human,pro,2,2,915,12
